target,feature_set,model,development_rows,holdout_rows,accuracy,log_loss,brier,n_60,accuracy_60,n_65,accuracy_65,n_70,accuracy_70
OU_25,BASE,LOGISTIC,1128,283,53.3569,0.684938,0.245929,43,58.1395,4,75.0,0,
OU_25,BASE,RANDOM_FOREST,1128,283,51.2367,0.695726,0.251163,43,51.1628,13,53.8462,4,50.0
OU_25,BASE,GRADIENT_BOOSTING,1128,283,54.0636,0.695759,0.250955,36,61.1111,21,52.381,8,50.0
OU_25,BASE,HIST_GRADIENT_BOOSTING,1128,283,50.8834,0.761956,0.280099,169,47.3373,123,43.9024,77,50.6494
OU_25,BASE_PLUS_RICH,LOGISTIC,1128,283,50.8834,0.700751,0.253367,80,53.75,24,50.0,4,50.0
OU_25,BASE_PLUS_RICH,RANDOM_FOREST,1128,283,51.2367,0.69747,0.252014,38,52.6316,10,30.0,1,0.0
OU_25,BASE_PLUS_RICH,GRADIENT_BOOSTING,1128,283,50.8834,0.702821,0.254463,53,50.9434,20,50.0,4,25.0
OU_25,BASE_PLUS_RICH,HIST_GRADIENT_BOOSTING,1128,283,50.8834,0.784204,0.287025,176,49.4318,127,46.4567,89,46.0674
OU_25,RICH_ONLY,LOGISTIC,1128,283,53.7102,0.698456,0.252323,64,51.5625,18,50.0,3,33.3333
OU_25,RICH_ONLY,RANDOM_FOREST,1128,283,50.53,0.698266,0.252366,42,54.7619,9,33.3333,1,0.0
OU_25,RICH_ONLY,GRADIENT_BOOSTING,1128,283,49.47,0.704485,0.25534,58,53.4483,13,38.4615,2,0.0
OU_25,RICH_ONLY,HIST_GRADIENT_BOOSTING,1128,283,49.1166,0.781526,0.285609,180,49.4444,138,49.2754,96,54.1667
BTTS,BASE,LOGISTIC,1128,283,50.8834,0.702967,0.254779,47,51.0638,1,0.0,0,
BTTS,BASE,RANDOM_FOREST,1128,283,48.4099,0.711911,0.259099,76,48.6842,16,50.0,1,0.0
BTTS,BASE,GRADIENT_BOOSTING,1128,283,49.1166,0.714115,0.260087,74,51.3514,30,46.6667,4,75.0
BTTS,BASE,HIST_GRADIENT_BOOSTING,1128,283,46.2898,0.807652,0.296761,182,44.5055,136,50.0,92,48.913
BTTS,BASE_PLUS_RICH,LOGISTIC,1128,283,48.0565,0.719641,0.26281,77,46.7532,21,52.381,4,50.0
BTTS,BASE_PLUS_RICH,RANDOM_FOREST,1128,283,49.1166,0.708283,0.257364,81,50.6173,22,54.5455,0,
BTTS,BASE_PLUS_RICH,GRADIENT_BOOSTING,1128,283,50.53,0.707041,0.256689,91,51.6484,29,55.1724,4,50.0
BTTS,BASE_PLUS_RICH,HIST_GRADIENT_BOOSTING,1128,283,49.1166,0.778388,0.285048,180,51.1111,139,51.7986,93,50.5376
BTTS,RICH_ONLY,LOGISTIC,1128,283,48.4099,0.711429,0.258884,62,51.6129,12,58.3333,1,0.0
BTTS,RICH_ONLY,RANDOM_FOREST,1128,283,50.1767,0.705437,0.255965,69,55.0725,22,50.0,1,100.0
BTTS,RICH_ONLY,GRADIENT_BOOSTING,1128,283,50.8834,0.705952,0.256188,78,50.0,22,59.0909,3,66.6667
BTTS,RICH_ONLY,HIST_GRADIENT_BOOSTING,1128,283,50.53,0.762307,0.277567,171,53.2164,128,53.9062,95,52.6316
