match_id,match_date,league,home_team,away_team,result,prediction,confidence,correct,home_probability,draw_probability,away_probability,confidence_bucket
1076,2025-04-07 18:45:00,Serie A,Bologna,Napoli,DRAW,HOME,56.889707249973675,False,56.889707249973675,28.085674496248135,15.024618253778193,55-59.9
305,2025-04-07 19:00:00,La Liga,Leganes,Osasuna,DRAW,HOME,46.32079395937179,False,46.32079395937179,25.142434260187112,28.5367717804411,45-49.9
695,2025-04-07 19:00:00,Premier League,Leicester,Newcastle,AWAY,AWAY,46.167517949364466,True,29.437636746363623,24.39484530427191,46.167517949364466,45-49.9
1399,2025-04-11 18:30:00,Bundesliga,VfL Wolfsburg,RB Leipzig,AWAY,AWAY,42.92328362214311,True,28.05525773629869,29.021458641558183,42.92328362214311,40-44.9
1077,2025-04-11 18:45:00,Serie A,Udinese,AC Milan,AWAY,AWAY,36.87573636029356,True,33.31077283111909,29.81349080858734,36.87573636029356,35-39.9
306,2025-04-11 19:00:00,La Liga,Valencia,Sevilla,HOME,HOME,56.14281017588579,True,56.14281017588579,26.55197918308273,17.305210641031472,55-59.9
696,2025-04-12 11:30:00,Premier League,Manchester City,Crystal Palace,HOME,AWAY,41.27982784920514,False,29.390854690990313,29.32931745980455,41.27982784920514,40-44.9
307,2025-04-12 12:00:00,La Liga,Real Sociedad,Mallorca,AWAY,HOME,46.67476779117578,False,46.67476779117578,26.84652877038807,26.478703438436153,45-49.9
1078,2025-04-12 13:00:00,Serie A,Venezia,Monza,HOME,HOME,44.882475124165296,True,44.882475124165296,32.155008630721746,22.962516245112962,40-44.9
1400,2025-04-12 13:30:00,Bundesliga,Borussia Mönchengladbach,SC Freiburg,AWAY,HOME,55.090620695376835,False,55.090620695376835,25.010392612470383,19.89898669215279,55-59.9
1401,2025-04-12 13:30:00,Bundesliga,1899 Hoffenheim,FSV Mainz 05,HOME,AWAY,40.96665091406723,False,33.05559485184072,25.977754234092053,40.96665091406723,40-44.9
1402,2025-04-12 13:30:00,Bundesliga,Bayer Leverkusen,Union Berlin,DRAW,HOME,51.98005035054371,False,51.98005035054371,24.675835850754645,23.34411379870163,50-54.9
1403,2025-04-12 13:30:00,Bundesliga,VfL Bochum,FC Augsburg,AWAY,AWAY,43.132451955795865,True,31.905034436759394,24.962513607444745,43.132451955795865,40-44.9
1404,2025-04-12 13:30:00,Bundesliga,Holstein Kiel,FC St. Pauli,AWAY,HOME,37.95594661722189,False,37.95594661722189,26.5845798606259,35.45947352215221,35-39.9
698,2025-04-12 14:00:00,Premier League,Brighton,Leicester,DRAW,HOME,59.15224900888805,False,59.15224900888805,24.79466573952769,16.05308525158426,55-59.9
699,2025-04-12 14:00:00,Premier League,Nottingham Forest,Everton,AWAY,HOME,44.76908700850278,False,44.76908700850278,31.050449889945924,24.180463101551304,40-44.9
697,2025-04-12 14:00:00,Premier League,Southampton,Aston Villa,AWAY,AWAY,53.7146219714145,True,24.574465894667963,21.710912133917535,53.7146219714145,50-54.9
308,2025-04-12 14:15:00,La Liga,Getafe,Las Palmas,AWAY,HOME,55.540211080124315,False,55.540211080124315,25.83565503199829,18.624133887877402,55-59.9
1079,2025-04-12 16:00:00,Serie A,Inter,Cagliari,HOME,HOME,46.65317158413366,True,46.65317158413366,30.55268236761342,22.794146048252916,45-49.9
309,2025-04-12 16:30:00,La Liga,Celta Vigo,Espanyol,AWAY,HOME,45.06238112690591,False,45.06238112690591,28.611382709625687,26.32623616346841,45-49.9
700,2025-04-12 16:30:00,Premier League,Arsenal,Brentford,DRAW,HOME,41.55847963394355,False,41.55847963394355,32.545082544632066,25.89643782142439,40-44.9
1405,2025-04-12 16:30:00,Bundesliga,Bayern München,Borussia Dortmund,DRAW,HOME,43.86778182040192,False,43.86778182040192,23.602562488353204,32.52965569124487,40-44.9
1080,2025-04-12 18:45:00,Serie A,Juventus,Lecce,HOME,HOME,41.89009872977544,True,41.89009872977544,31.85264686265573,26.257254407568837,40-44.9
310,2025-04-12 19:00:00,La Liga,Leganes,Barcelona,AWAY,AWAY,59.52586240175598,True,20.605914093056615,19.86822350518741,59.52586240175598,55-59.9
1081,2025-04-13 10:30:00,Serie A,Atalanta,Bologna,HOME,AWAY,48.62249970619354,False,22.67943908138566,28.698061212420807,48.62249970619354,45-49.9
311,2025-04-13 12:00:00,La Liga,Osasuna,Girona,HOME,HOME,43.91748283665058,True,43.91748283665058,26.17318415618654,29.909333007162886,40-44.9
1083,2025-04-13 13:00:00,Serie A,Hellas Verona,Genoa,DRAW,AWAY,33.97684129293133,False,32.381905332810405,33.64125337425827,33.97684129293133,<35
703,2025-04-13 13:00:00,Premier League,Chelsea,Ipswich,DRAW,HOME,50.61107525036609,False,50.61107525036609,28.681654617288764,20.70727013234514,50-54.9
1082,2025-04-13 13:00:00,Serie A,Fiorentina,Parma,DRAW,HOME,46.91233218215881,False,46.91233218215881,31.474993921525936,21.612673896315254,45-49.9
701,2025-04-13 13:00:00,Premier League,Wolves,Tottenham,HOME,HOME,47.22636674006531,True,47.22636674006531,29.16741334117753,23.606219918757162,45-49.9
702,2025-04-13 13:00:00,Premier League,Liverpool,West Ham,HOME,HOME,49.88648891824668,True,49.88648891824668,28.70553839860336,21.40797268314998,45-49.9
1406,2025-04-13 13:30:00,Bundesliga,VfB Stuttgart,Werder Bremen,AWAY,AWAY,46.995820035483256,True,31.865541582245193,21.138638382271544,46.995820035483256,45-49.9
312,2025-04-13 14:15:00,La Liga,Alaves,Real Madrid,AWAY,HOME,44.96315408309126,False,44.96315408309126,27.31163452259406,27.72521139431469,40-44.9
704,2025-04-13 15:30:00,Premier League,Newcastle,Manchester United,HOME,HOME,45.41490033511495,True,45.41490033511495,27.9361625410038,26.64893712388125,45-49.9
1407,2025-04-13 15:30:00,Bundesliga,Eintracht Frankfurt,1. FC Heidenheim,HOME,HOME,39.93486393993654,True,39.93486393993654,26.39878532519987,33.66635073486359,35-39.9
1084,2025-04-13 16:00:00,Serie A,Como,Torino,HOME,AWAY,37.161029523726135,False,33.48819946696379,29.350771009310066,37.161029523726135,35-39.9
313,2025-04-13 16:30:00,La Liga,Real Betis,Villarreal,AWAY,HOME,56.43189509306846,False,56.43189509306846,27.526242342281986,16.04186256464955,55-59.9
1085,2025-04-13 18:45:00,Serie A,Lazio,AS Roma,DRAW,HOME,35.394450662505115,False,35.394450662505115,31.633921599647714,32.971627737847164,35-39.9
314,2025-04-13 19:00:00,La Liga,Athletic Club,Rayo Vallecano,HOME,HOME,44.38372650649739,True,44.38372650649739,30.85435418965726,24.76191930384535,40-44.9
1086,2025-04-14 18:45:00,Serie A,Napoli,Empoli,HOME,HOME,43.56428511263418,True,43.56428511263418,34.8009229196273,21.63479196773853,40-44.9
705,2025-04-14 19:00:00,Premier League,Bournemouth,Fulham,HOME,AWAY,47.551823105256,False,29.76434716674614,22.683829727997846,47.551823105256,45-49.9
315,2025-04-14 19:00:00,La Liga,Atletico Madrid,Valladolid,HOME,HOME,57.292601776842545,True,57.292601776842545,24.914353154597904,17.793045068559557,55-59.9
706,2025-04-16 18:30:00,Premier League,Newcastle,Crystal Palace,HOME,HOME,50.20039488771264,True,50.20039488771264,25.405253345780075,24.394351766507285,50-54.9
316,2025-04-18 19:00:00,La Liga,Espanyol,Getafe,HOME,HOME,45.789659619445466,True,45.789659619445466,25.67054551567699,28.539794864877543,45-49.9
317,2025-04-19 12:00:00,La Liga,Rayo Vallecano,Valencia,DRAW,AWAY,39.44500869414297,False,35.2793674182029,25.27562388765413,39.44500869414297,35-39.9
1087,2025-04-19 13:00:00,Serie A,Lecce,Como,AWAY,AWAY,45.53076371484824,True,27.17524810286431,27.293988182287464,45.53076371484824,45-49.9
1408,2025-04-19 13:30:00,Bundesliga,SC Freiburg,1899 Hoffenheim,HOME,HOME,36.90212181739635,True,36.90212181739635,26.422870282051214,36.675007900552444,35-39.9
1409,2025-04-19 13:30:00,Bundesliga,Werder Bremen,VfL Bochum,HOME,HOME,67.87911592697216,True,67.87911592697216,19.619480677738,12.501403395289849,60-69.9
1410,2025-04-19 13:30:00,Bundesliga,FSV Mainz 05,VfL Wolfsburg,DRAW,HOME,42.02295790255698,False,42.02295790255698,26.70646408440553,31.270578013037497,40-44.9
1411,2025-04-19 13:30:00,Bundesliga,RB Leipzig,Holstein Kiel,DRAW,HOME,56.69894784763262,False,56.69894784763262,25.090350399055755,18.21070175331163,55-59.9
1412,2025-04-19 13:30:00,Bundesliga,1. FC Heidenheim,Bayern München,AWAY,AWAY,39.70871909902412,True,35.13059074502308,25.160690155952807,39.70871909902412,35-39.9
710,2025-04-19 14:00:00,Premier League,Brentford,Brighton,HOME,HOME,39.70874048830642,True,39.70874048830642,28.031083794694716,32.26017571699887,35-39.9
709,2025-04-19 14:00:00,Premier League,Crystal Palace,Bournemouth,DRAW,HOME,39.34683615798021,False,39.34683615798021,25.41468442948928,35.23847941253051,35-39.9
707,2025-04-19 14:00:00,Premier League,Everton,Manchester City,AWAY,AWAY,42.53471262588207,True,28.39318850008883,29.072098874029102,42.53471262588207,40-44.9
